step,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
20,2.4793512344360353,1.046875,1.6764705882352943e-05,1.933427993953228,143002.0,0.49365273900330064,0.09019165727170236,,,,,
40,2.1735292434692384,0.765625,2.999536718984357e-05,2.1366617664694787,290902.0,0.5316332198679448,0.18038331454340473,,,,,
60,2.1598655700683596,0.90234375,2.9884322770429996e-05,2.127666910737753,446596.0,0.5331131303682923,0.2705749718151071,,,,,
80,2.147882270812988,1.0859375,2.962628526018445e-05,2.1243943817913533,592423.0,0.5370924824848771,0.36076662908680945,,,,,
100,2.160722351074219,1.421875,2.922380295987724e-05,2.153062053024769,739667.0,0.5310972318053245,0.4509582863585118,,,,,
120,2.1824567794799803,1.65625,2.868085066354098e-05,2.1745504043996333,891388.0,0.5296649217605591,0.5411499436302142,,,,,
140,2.200505256652832,2.125,2.800279040460129e-05,2.190130900591612,1037408.0,0.5280833572149277,0.6313416009019166,,,,,
160,2.1492082595825197,2.1875,2.7196318502048915e-05,2.1501617722213267,1187371.0,0.5336766509339214,0.7215332581736189,,,,,
180,2.194306182861328,2.625,2.6269399429609236e-05,2.1852978013455866,1337134.0,0.5306045152246952,0.8117249154453213,,,,,
200,2.1635259628295898,2.484375,2.5231187160997454e-05,2.156397492438555,1487310.0,0.5344941487535835,0.9019165727170236,,,,,
220,2.174590301513672,3.4375,2.4091934768029912e-05,2.1576112672686576,1636810.0,0.5323819477111101,0.992108229988726,,,,,
240,2.128788948059082,3.53125,2.2862893164373488e-05,2.1316618632666673,1787212.0,0.536044635916058,1.0811724915445322,,,,,
260,2.133529472351074,2.984375,2.1556199994909253e-05,2.1319608092308044,1943217.0,0.533832524716854,1.1713641488162345,,,,,
280,2.1391532897949217,3.234375,2.0184759768005557e-05,2.131162144243717,2090910.0,0.5351661905646324,1.2615558060879368,,,,,
300,2.121881675720215,3.1875,1.87621164144783e-05,2.1184658646583556,2235852.0,0.5421350803226233,1.3517474633596391,,,,,
320,2.103604316711426,3.25,1.7302319531807444e-05,2.1217707477509977,2388182.0,0.5388807946816087,1.4419391206313417,,,,,
340,2.173746681213379,3.28125,1.5819785634541904e-05,2.178476612269878,2537767.0,0.5318761205300688,1.532130777903044,,,,,
360,2.0854658126831054,3.296875,1.4329155781141882e-05,2.09914044290781,2680849.0,0.5432074259966612,1.6223224351747465,,,,,
380,2.128204345703125,4.28125,1.2845150983293096e-05,2.1287723585963247,2826322.0,0.5407838456332683,1.7125140924464488,,,,,
400,2.1191007614135744,3.390625,1.13824268256271e-05,2.1761082910001277,2979715.0,0.5354664931073785,1.8027057497181511,,,,,
420,2.091029930114746,3.875,9.955428731579419e-06,2.1183387510478497,3128988.0,0.5445488683879376,1.8928974069898534,,,,,
440,2.1513654708862306,3.140625,8.578249304736436e-06,2.175180188566446,3272062.0,0.538364471681416,1.9830890642615557,,,,,
460,2.1138492584228517,3.671875,7.264489154524865e-06,2.1602250729935077,3420977.0,0.5428217006257817,2.0721533258173617,,,,,
480,2.154588317871094,3.140625,6.027122580687469e-06,2.2094248056411745,3571229.0,0.5351247256621718,2.1623449830890644,,,,,
500,2.0711109161376955,3.0,4.87836944300462e-06,2.1434897869825362,3717239.0,0.5464002834632993,2.2525366403607667,,,,,
520,2.091425895690918,2.9375,3.829574481637864e-06,2.1649547308683394,3865177.0,0.5426500037312507,2.342728297632469,,,,,
540,2.0994733810424804,3.078125,2.8910952798913134e-06,2.1671647682785986,4011028.0,0.5432993438094854,2.4329199549041713,,,,,
560,2.087006950378418,3.21875,2.0721999758370946e-06,2.1594981249421834,4157753.0,0.5469758547842503,2.5231116121758737,,,,,
580,2.0907623291015627,3.25,1.3809757329738243e-06,2.182739666104317,4306824.0,0.5425573436543345,2.613303269447576,,,,,
600,2.097218322753906,3.015625,8.242488738345249e-07,2.171398635953665,4454637.0,0.5420027311891318,2.7034949267192783,,,,,
620,2.0907852172851564,3.140625,4.075174652802921e-07,2.1670452035963534,4605380.0,0.5409663217142224,2.793686583990981,,,,,
640,2.074860382080078,3.15625,1.348970212471634e-07,2.157911615818739,4757132.0,0.5455988399684429,2.8838782412626833,,,,,
660,2.1089038848876953,3.109375,9.079859169427996e-09,2.17524558827281,4905879.0,0.541497354209423,2.9740698985343856,,,,,
666,,,,2.1214652346528093,4946295.0,0.5550602629132892,3.0,31653.2176,0.168,0.021,2.1236666896355328e+17,2.139848156376286
