step,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
20,2.63939208984375,0.412109375,0.00011176470588235294,2.346575667336583,137553.0,0.4621910171583295,0.09014084507042254,,,,,
40,2.326379585266113,0.265625,0.00019996911459895715,2.294416381418705,277268.0,0.504349460452795,0.18028169014084508,,,,,
60,2.339029312133789,0.3125,0.00019922881846953333,2.293549598753452,410289.0,0.5108196744695306,0.2704225352112676,,,,,
80,2.299606513977051,0.2490234375,0.00019750856840122967,2.2512550756335257,549816.0,0.5110141411423683,0.36056338028169016,,,,,
100,2.3554365158081056,0.28125,0.00019482535306584826,2.3299474112689493,700249.0,0.5015964493155479,0.4507042253521127,,,,,
120,2.310862159729004,0.255859375,0.0001912056710902732,2.2641887940466403,839124.0,0.5114594914019108,0.5408450704225352,,,,,
140,2.364872169494629,0.271484375,0.0001866852693640086,2.315118158608675,983376.0,0.5037797436118125,0.6309859154929578,,,,,
160,2.2690420150756836,0.259765625,0.00018130879001365942,2.2383145026862623,1121004.0,0.5140756046399474,0.7211267605633803,,,,,
180,2.314518356323242,0.26171875,0.00017512932953072825,2.2659287601709366,1262461.0,0.5124159757047891,0.8112676056338028,,,,,
200,2.334722328186035,0.28515625,0.00016820791440664968,2.3081674471497537,1404167.0,0.5069214224815368,0.9014084507042254,,,,,
220,2.33355770111084,0.296875,0.00016061289845353276,2.306594341993332,1548564.0,0.5066063173115254,0.9915492957746479,,,,,
240,2.1717460632324217,0.28515625,0.00015241928776248994,2.1439952512957015,1681089.0,0.5314451675370054,1.0811267605633803,,,,,
260,2.2335575103759764,0.34765625,0.00014370799996606167,2.179251521080732,1822531.0,0.5225428208708763,1.1712676056338027,,,,,
280,2.1748865127563475,0.349609375,0.00013456506512003706,2.150168241932988,1963838.0,0.5292761128395795,1.2614084507042254,,,,,
300,2.2150503158569337,0.34375,0.00012508077609652202,2.176555444300175,2103721.0,0.5226410400122404,1.3515492957746478,,,,,
320,2.1853639602661135,0.365234375,0.00011534879687871629,2.1606875397264957,2241128.0,0.5248600445687771,1.4416901408450704,,,,,
340,2.2570493698120115,0.333984375,0.00010546523756361271,2.2287517786026,2389011.0,0.5143855478614568,1.531830985915493,,,,,
360,2.2701725006103515,0.349609375,9.552770520761256e-05,2.247346494346857,2533218.0,0.5170187972486019,1.6219718309859155,,,,,
380,2.2285125732421873,0.412109375,8.563433988862064e-05,2.1920737512409687,2673310.0,0.5234036289155484,1.7121126760563379,,,,,
400,2.2043018341064453,0.369140625,7.588284550418068e-05,2.167689171433449,2813392.0,0.5241041259840131,1.8022535211267605,,,,,
420,2.246060371398926,0.34375,6.636952487719612e-05,2.2228315085172654,2956400.0,0.5149801596999168,1.8923943661971832,,,,,
440,2.222237205505371,0.359375,5.718832869824291e-05,2.1859411783516407,3095705.0,0.5234838582575321,1.9825352112676056,,,,,
460,2.1737945556640623,0.375,4.842992769683243e-05,2.1695266167322793,3236676.0,0.5291142568648236,2.072112676056338,,,,,
480,2.121404266357422,0.421875,4.018081720458313e-05,2.098371707648039,3377629.0,0.53517228923738,2.1622535211267606,,,,,
500,2.13641242980957,0.388671875,3.252246295336413e-05,2.1127229392528535,3519109.0,0.5346830960363149,2.252394366197183,,,,,
520,2.1351524353027345,0.39453125,2.5530496544252426e-05,2.0944923140108584,3661912.0,0.5349176067858934,2.3425352112676054,,,,,
540,2.1127939224243164,0.447265625,1.9273968532608755e-05,2.0988578878343107,3799950.0,0.5350526502355933,2.4326760563380283,,,,,
560,2.1250919342041015,0.369140625,1.3814666505580631e-05,2.0998306296765805,3943777.0,0.5324853766709566,2.5228169014084507,,,,,
580,2.093008804321289,0.431640625,9.206504886492162e-06,2.0669297978281973,4080881.0,0.5419074490666389,2.612957746478873,,,,,
600,2.130646324157715,0.40234375,5.494992492230166e-06,2.101927188038826,4222862.0,0.5363662250339984,2.7030985915492955,,,,,
620,2.0796581268310548,0.41015625,2.716783101868614e-06,2.0659730598330497,4360787.0,0.5443240534514189,2.7932394366197184,,,,,
640,2.1015336990356444,0.41015625,8.993134749810894e-07,2.065573037415743,4498059.0,0.5406081823632121,2.883380281690141,,,,,
660,2.1272024154663085,0.400390625,6.053239446285331e-08,2.1092731397598983,4639402.0,0.5353488966822624,2.9735211267605632,,,,,
666,,,,2.0797532314949847,4681908.0,0.539313368340756,3.0,17150.0194,0.31,0.039,7.878829005973094e+16,2.2305447260538735
