step,loss,grad_norm,learning_rate,entropy,mean_token_accuracy,num_tokens,epoch,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
20,0.1297002911567688,0.10791015625,0.00011176470588235294,0.08984630836639554,0.9270833373069763,136307.0,0.09014084507042254,,,,,
40,0.0904440701007843,0.11083984375,0.00019996911459895715,0.08895991677418351,0.9350961577147245,274764.0,0.18028169014084508,,,,,
60,0.09105465412139893,0.07470703125,0.00019922881846953333,0.08633733200840651,0.9296474397182465,406530.0,0.2704225352112676,,,,,
80,0.08836028575897217,0.05810546875,0.00019750856840122967,0.08886006404645741,0.9413461573421955,544806.0,0.36056338028169016,,,,,
100,0.09002377390861512,0.17578125,0.00019482535306584826,0.08516770987771452,0.9290064137428999,694003.0,0.4507042253521127,,,,,
120,0.08991069793701172,0.189453125,0.0001912056710902732,0.08844927353784442,0.9416666701436043,831634.0,0.5408450704225352,,,,,
140,0.09181287884712219,0.040771484375,0.0001866852693640086,0.09072986315004528,0.9320512857288122,974650.0,0.6309859154929578,,,,,
160,0.08831210136413574,0.158203125,0.00018130879001365942,0.09005437158048153,0.9415064137428999,1111032.0,0.7211267605633803,,,,,
180,0.0892527461051941,0.0380859375,0.00017512932953072825,0.0876784687396139,0.9384615421295166,1251233.0,0.8112676056338028,,,,,
200,0.0878700077533722,0.0537109375,0.00016820791440664968,0.08835188150405884,0.9424679521471262,1391685.0,0.9014084507042254,,,,,
220,0.08908077478408813,0.294921875,0.00016061289845353276,0.08719408479519189,0.9418269265443087,1534826.0,0.9915492957746479,,,,,
240,0.089166259765625,0.189453125,0.00015241928776248994,0.08827075694904388,0.940977265250008,1666100.0,1.0811267605633803,,,,,
260,0.08801684379577637,0.058349609375,0.00014370799996606167,0.08801166373305022,0.9421474393457174,1806298.0,1.1712676056338027,,,,,
280,0.0886621356010437,0.0390625,0.00013456506512003706,0.08843284477479756,0.9285256445407868,1946364.0,1.2614084507042254,,,,,
300,0.0870683491230011,0.0986328125,0.00012508077609652202,0.08872629720717669,0.9431089777499437,2084991.0,1.3515492957746478,,,,,
320,0.08829421997070312,0.10205078125,0.00011534879687871629,0.08845935272984207,0.9423076957464218,2221148.0,1.4416901408450704,,,,,
340,0.08718842267990112,0.056640625,0.00010546523756361271,0.08829185510985553,0.9456730801612139,2367781.0,1.531830985915493,,,,,
360,0.08602329492568969,0.07373046875,9.552770520761256e-05,0.08633727682754397,0.9418269261717797,2510750.0,1.6219718309859155,,,,,
380,0.08583999276161194,0.10791015625,8.563433988862064e-05,0.08653770759701729,0.948237182572484,2649591.0,1.7121126760563379,,,,,
400,0.08767222762107849,0.050048828125,7.588284550418068e-05,0.08612141734920442,0.938621798157692,2788432.0,1.8022535211267605,,,,,
420,0.08670539259910584,0.053955078125,6.636952487719612e-05,0.08740218672901393,0.942788464576006,2930186.0,1.8923943661971832,,,,,
440,0.08373645544052125,0.08642578125,5.718832869824291e-05,0.08646337264217437,0.9533653873950243,3068234.0,1.9825352112676056,,,,,
460,0.08209818601608276,0.09521484375,4.842992769683243e-05,0.08373766739225988,0.9512981806161269,3207971.0,2.072112676056338,,,,,
480,0.08330352306365967,0.09521484375,4.018081720458313e-05,0.08224600981920957,0.946153848990798,3347675.0,2.1622535211267606,,,,,
500,0.08259119987487792,0.125,3.252246295336413e-05,0.08386884541250765,0.9525641053915024,3487892.0,2.252394366197183,,,,,
520,0.08150497078895569,0.1220703125,2.5530496544252426e-05,0.08361269496381282,0.9538461565971375,3629446.0,2.3425352112676054,,,,,
540,0.08283719420433044,0.1328125,1.9273968532608755e-05,0.08299150723032653,0.9437500029802323,3766234.0,2.4326760563380283,,,,,
560,0.081955885887146,0.162109375,1.3814666505580631e-05,0.08266487661749125,0.9466346181929112,3908817.0,2.5228169014084507,,,,,
580,0.07987619042396546,0.12255859375,9.206504886492162e-06,0.0823928939178586,0.9498397462069988,4044672.0,2.612957746478873,,,,,
600,0.08055129051208496,0.11572265625,5.494992492230166e-06,0.08242085920646787,0.9541666693985462,4185402.0,2.7030985915492955,,,,,
620,0.08119671940803527,0.130859375,2.716783101868614e-06,0.08263538628816605,0.9548076950013638,4322080.0,2.7932394366197184,,,,,
640,0.08165223598480224,0.126953125,8.993134749810894e-07,0.08249945836141706,0.9525641053915024,4458103.0,2.883380281690141,,,,,
660,0.08181248903274536,0.1396484375,6.053239446285331e-08,0.08191229512449354,0.9487179514020682,4598203.0,2.9735211267605632,,,,,
666,,,,0.08237825651118096,0.9536279351153272,4640337.0,3.0,16523.0991,0.322,0.04,7.808872312973722e+16,0.08732014715492546
