strategy,model,n_valid,coverage,accuracy,f1_macro,f1_weighted
zero_shot,mistralai/mistral-small-3.1-24b-instruct,8341,0.9622,0.6779,0.6274,0.6695
few_shot,mistralai/mistral-small-3.1-24b-instruct,8666,0.9997,0.7182,0.6696,0.7149
