model,trait,accuracy,precision,recall,f1
Qwen2.5-3B IFT,mEXT,0.8968,0.8526,0.6395,0.7308
Qwen2.5-3B IFT,mOPN,0.7993,0.9698,0.7927,0.8723
Qwen2.5-3B IFT,mAGR,0.8039,0.9087,0.7057,0.7944
Qwen2.5-3B IFT,mCON,0.8091,0.9093,0.7675,0.8324
Qwen2.5-3B IFT,MACRO,0.8273,0.9101,0.7264,0.8075
