model,trait,accuracy,precision,recall,f1
Qwen SFT,mEXT,0.9343,0.8594,0.8416,0.8504
Qwen SFT,mOPN,0.9539,0.9601,0.9872,0.9735
Qwen SFT,mAGR,0.925,0.9297,0.9336,0.9317
Qwen SFT,mCON,0.9141,0.9082,0.9542,0.9306
Qwen SFT,MACRO,0.9318,0.9144,0.9292,0.9216
