model,trait,accuracy,precision,recall,f1
Mistral SFT Chặng 1+2+3,mEXT,0.7705,0.443,0.1842,0.2602
Mistral SFT Chặng 1+2+3,mOPN,0.861,0.8731,0.982,0.9244
Mistral SFT Chặng 1+2+3,mAGR,0.6747,0.6661,0.7905,0.723
Mistral SFT Chặng 1+2+3,mCON,0.6009,0.657,0.7404,0.6962
Mistral SFT Chặng 1+2+3,MACRO,0.7268,0.6598,0.6743,0.651
