step,loss
2,3.8903398513793945
4,3.298250198364258
6,3.5218281745910645
8,3.397204875946045
10,3.19053053855896
12,3.269709587097168
14,3.09789776802063
16,2.891897439956665
18,2.7878575325012207
20,3.1138997077941895
22,3.0141870975494385
24,3.135686159133911
