step,loss
2,4.226780891418457
4,3.773303747177124
6,4.083765983581543
8,3.965658664703369
10,3.736746311187744
12,3.837756633758545
14,3.664297580718994
16,3.4267220497131348
18,3.3646321296691895
20,3.7213711738586426
22,3.5698039531707764
24,3.6215808391571045
