model,trait,accuracy,precision,recall,f1
Mistral IFT Chặng 1+2+3,mEXT,0.8258,0.697,0.3632,0.4775
Mistral IFT Chặng 1+2+3,mOPN,0.7013,0.88,0.758,0.8145
Mistral IFT Chặng 1+2+3,mAGR,0.7018,0.8204,0.5693,0.6722
Mistral IFT Chặng 1+2+3,mCON,0.6182,0.7566,0.563,0.6456
Mistral IFT Chặng 1+2+3,MACRO,0.7118,0.7885,0.5634,0.6524
