model,trait,accuracy,precision,recall,f1
Qwen2.5-3B IFT,mEXT,0.8212,0.6336,0.4368,0.5171
Qwen2.5-3B IFT,mOPN,0.7197,0.9043,0.756,0.8235
Qwen2.5-3B IFT,mAGR,0.7191,0.8058,0.6284,0.7061
Qwen2.5-3B IFT,mCON,0.6424,0.7583,0.6181,0.6811
Qwen2.5-3B IFT,MACRO,0.7256,0.7755,0.6098,0.682
